name,prompt,negative_prompt,remark
豆包去水印,"Remove the white text watermark and white border watermark in the lower right corner or upper - left corner of the image. Except for the watermark, the characters, background, style, size, etc remain unchanged",,"豆包去水印提示词http://pic.201782.com/yiyi/20250703120017_B3PRZE_1751514985688.jpeg"
人物头像外补,"Add a headshot of a young east asian woman celebrity to fill the blank area at the top of the picture. High - quality, masterpiece, focus - sharp.",,"人物头像外补http://pic.201782.com/yiyi/20250704094050_mxbs4G_Screenshot.png"
衣服换模特,"Dress the model named Feifei, a sexy girl, in the provided clothing. Ensure the dress fits her figure perfectly, highlighting her curves with a form-fitting silhouette. The fabric should have a smooth texture, catching the light elegantly. The model should pose confidently, with a sultry expression and graceful posture. The background should be minimalist to emphasize the model and the dress. cinematic lighting, ultra detailed, high quality",,"衣服换模特http://pic.201782.com/yiyi/20250704094050_mxbs4G_Screenshot.png"
人物框选移除,"Remove the person in the white box in the picture to maintain the consistency of the character and posture without changing",,"移除图中白色人物，保持背景干净http://pic.201782.com/yiyi/20250703142519_HFFRcW_Screenshot.png"
商品移除,"Remove objects in the white box in the picture, keep the character and posture consistent, and perfect fingers",,"移除图中白色方框中物体，保持角色和姿势一致性无改变，完美手指http://pic.201782.com/yiyi/20250703105959_4y1pTv_Screenshot.png"
物体移除,"Remove the objects in he white frame, retain the consistency of other parts of the watermark without any changes",,"将白框内物体移除，保留其他部分水印一致性无任何变化http://pic.201782.com/yiyi/20250703114747_2cUZCE_Screenshot.png"
部分文字替换,"Replace the red box position text with 'Kontext'",,"将白色方框位置文字替换为'Kontext'http://pic.201782.com/yiyi/20250703114634_hLs8ti_Screenshot.png"
局部修改,"Replace the black luxury version LV bag in the white box with the red one, maintaining the consistency of the character and posture without any changes.",,"局部修改-修改手提包,将白色方框中包换位黑色豪华版LV包，保持角色和姿势一致性无改变http://pic.201782.com/yiyi/20250703114511_A5rTUv_Screenshot.png"
人物LORA,"Replace the woman's face in the image with the face of a sexy girl named "FK_FEIFEI". The style should be transformed into a real-life cinematic photography. Ensure the new face fits the woman's expression and lighting naturally, with realistic skin texture, detailed features, and accurate shadows. The transition should be seamless. high quality, ultra detailed, realistic lighting",,"人物LORA,http://pic.201782.com/yiyi/20250704094050_mxbs4G_Screenshot.png"
摄影(亚洲人),"photography,intricate details,k-pop,{prompt},professional,hdr,Leica M50 F/2.8,deep Shadows,vivid colorsexposure Mixing,sharp focus,glorification","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","摄影(亚洲人)http://pic.201782.com/yiyi/20250706160108_HTKqKW_Screenshot.png"
黑暗摄影(慎),"dark style,emitting a sense of dilapidation,a painting,{prompt},natural skin texture,intricate details,background of horror movies,perfect detailed,extremely detailed,hyper detailedextremely detailed,deep shadows,vibrant colors,dynamic Lighting,hard focus","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","黑暗摄影(慎)http://pic.201782.com/yiyi/20250706160216_RODWVK_Screenshot.png"
黑暗摄影(慎·亚洲人),"dark style,emitting a sense of dilapidation,k-pop,a painting,{prompt},natural skin texture,intricate details,background of horror movies,perfect detailed,extremely detailed,hyper detailedextremely detailed,deep shadows,vibrant colors,dynamic Lighting,hard focus","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","黑暗摄影(慎·亚洲人)http://pic.201782.com/yiyi/20250706160315_anR06T_Screenshot.png"
摄影棚,"Studio Photography,Leica M50 F/2.8,deep Shadows,vivid colorsexposure Mixing,sharp focus,glorification, {prompt}, professional,RAW photo,highly detailed,intricate details,extremely detailed,","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","摄影棚http://pic.201782.com/yiyi/20250706160419_ZlXSSC_Screenshot.png"
生活摄影风格,"Lifestyle Photography, 35mm photograph, {prompt}, film, bokeh, professional, 4k, highly detailed, intricate details, extremely detailed, sharp focus, soft cinematic light","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","生活摄影风格http://pic.201782.com/yiyi/20250706160503_hmjPfk_Screenshot.png"
模特摄影风格,"Model Photography, 35mm photograph, {prompt}, film, bokeh, professional, 4k, highly detailed, intricate details, extremely detailed, sharp focus, soft cinematic light","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","模特摄影风格http://pic.201782.com/yiyi/20250706160556_OqNH86_Screenshot.png"
肖像摄影风格,"Protrait Photography, 35mm photograph, {prompt}, film, bokeh, professional, 4k, highly detailed, intricate details, extremely detailed, hard focus","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly","肖像摄影风格http://pic.201782.com/yiyi/20250706160632_ByQFRo_Screenshot.png"
富士摄影风格,"35mm Photography, Fujifilm Provia 400X, {prompt}, film, bokeh, professional, 4k, highly detailed, intricate details, extremely detailed, hard focus","anime, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly","富士摄影风格http://pic.201782.com/yiyi/20250706160704_kD35AY_Screenshot.png"
人物抽象插画,"It is Agnes cecile's works, {prompt}, highly detailed, intricate details, extremely detailed, dramatic atmosphere, atmospheric perspective","photography, anime, crayon, sketch, graphite, noisy, blurry, deformed, ugly","人物抽象插画http://pic.201782.com/yiyi/20250706160828_Vb0xcc_Screenshot.png"
混合抽象插画,"It is Anne Bachelier's works, {prompt}, highly detailed, intricate details, extremely detailed, dramatic atmosphere, atmospheric perspective","photography, anime, crayon, sketch, graphite, noisy, blurry, deformed, ugly","混合抽象插画http://pic.201782.com/yiyi/20250706160908_YflLQ8_Screenshot.png"
黑暗恐怖主题,"The abstract style of the horror theme, dark Magic, {prompt}, highly detailed, intricate details, extremely detailed, heavy breathing, terrifying, ferocious","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","黑暗恐怖主题http://pic.201782.com/yiyi/20250706160953_aCAmwn_Screenshot.png"
机械朋克主题,"(biomechanical style), {prompt}, blend of organic and mechanical elements, futuristic, cybernetic, highly detailed, intricate details, extremely detailed, decorated with complex mecha","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","机械朋克主题http://pic.201782.com/yiyi/20250706161038_9haTdE_Screenshot.png"
线稿(复杂设计),"(It is a pencil drawing work:1.3),structured patterns,meditative drawing,designs,focus and relaxation,creative doodling, pencil drawing, {prompt}, graphic design,Black and white line draft","Stereoscopic,colourful,detailed,realism,crayon,photography,graphite,impressionist,noisy,blurry,deformed,ugly","线稿(复杂设计)http://pic.201782.com/yiyi/20250706161115_gtUthL_Screenshot.png"
线稿(简单设计),"(It is a simple pencil drawing work:1.3),structured patterns,meditative drawing,Less details,simple design,focus and relaxation, creative, {prompt}, colourless, Black and white line draft","Stereoscopic,complex,detailed,realism,crayon,photography,impressionist,noisy,blurry,deformed,ugly","线稿(简单设计)http://pic.201782.com/yiyi/20250706161148_KaYO0P_Screenshot.png"
复杂细节,"highly detailed, intricate details, extremely detailed, {prompt}, film, decorated with complex patterns and exquisite lines","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","复杂细节http://pic.201782.com/yiyi/20250706161225_XQ95LH_Screenshot.png"
全方位增强,"intricate details,{prompt},extremely detailed,hdr,sharp focus,cinematic light,deep shadows,muted colors,aerial perspective,unimaginable beauty,glorification",,"全方位增强http://pic.201782.com/yiyi/20250706161304_Hh6zTA_Screenshot.png"
复杂细节(亚洲人),"highly detailed,intricate details,extremely detailed,k-pop,{prompt}, film, decorated with complex patterns and exquisite lines","anime, crayon, sketch, graphite, impressionist, noisy, blurry, deformed, ugly","复杂细节(亚洲人)http://pic.201782.com/yiyi/20250706161351_IXSY8m_Screenshot.png"
全方位增强(亚洲人),"intricate details,k-pop,{prompt},extremely detailed,hdr,sharp focus,cinematic light,deep shadows,muted colors,aerial perspective,unimaginable beauty,glorification",,"全方位增强(亚洲人)http://pic.201782.com/yiyi/20250706161454_Eidjzw_Screenshot.png"
基本人物起手,"masterpiece, best quality, illustration,{prompt},","(worst quality:2),(low quality:2),(normal quality:2),lowres,watermark, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, jpeg artifacts, signature,username, blurry, ng_deepnegative_v1_75t, badhandv4","基本人物起手1111"
高质量起手式,"best quality, official art, 8k wallpaper, highly detailed, illustration, detailed eyes, ","fat, naked, nude, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, ((monochrome)), ((grayscale)), bad anatomy, DeepNegative, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, cropped, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, text, error, missing fingers, missing arms, missing legs,",
Majic-基础,"1girl,solo,female,woman,(8k, 4k, best quality, highres:1.1),illustration,realistic,(masterpiece),detailed,clear sharp focus,cinematiclighting,(realistic, photo-realistic:1.1),beautiful face,intricate,highly detailed,digital photography,(masterpiece, sidelighting, finely detailed beautiful eyes:1.2),hdr,physically-based rendering,professional lighting,","(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.33),(duplicate:1.33),(morbid:1.21),(mutilated:1.21),(tranny:1.33),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.33),extra limbs,(disfigured:1.33),(missing arms:1.33),(extra legs:1.33),(fused fingers:1.61),(too many fingers:1.61),(unclear eyes:1.33),lowers,bad hands,missing fingers,extra digit,bad hands,missing fingers,(((extra arms and legs))),DeepNegativeV1.x_V175T,EasyNegative,EasyNegativeV2,",
女孩起手式,"masterpiece, best quality,1girl, ","((nsfw)),sketches,(worst quality:2),(low quality:2),(normal quality:2),lowers,normal quality,facing away,looking away,text,error,extra digit,fewer digits,cropped,jpeg artifacts,signature,watermark,username,blurry,skin spots,acnes,skin blemishes,bad anatomy,fat,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,tilted head.bad anatomy.bad hands,extra fingers,fewer digits.,extra limbs.extra arms,extra legs,malformed limbs.fused fingers,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,extra arms,extra leg,extra foot,missing fingers,",
个人常用人物,"masterpiece, best quality,(RAW photo), realistic, photorealistic,ultra high res,","((nsfw)),sketches,tattoo, (beard:1.3),(EasyNegative:1.3),badhandv4,(Teeth:1.3)(worst quality:2),(low quality:2),(normal quality:2),lowers,normal quality,facing away,looking away,text,error,extra digit,fewer digits,cropped,jpeg artifacts,signature,watermark,username,blurry,skin spots,acnes,skin blemishes,bad anatomy,fat,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,tilted head.bad anatomy.bad hands,extra fingers,fewer digits.,extra limbs.extra arms,extra legs,malformed limbs.fused fingers,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,extra arms,extra leg,extra foot,missing fingers,",
换装女模特,"masterpiece, best quality,raw photo,best quality,photorealistic,simple background, ultra high res,(RAW photo),1girl, solo, thin female, (half body:1.2), medium shot, high detail face, smile, white light, create a polished look, completely nude,","((nsfw)),sketches,tattoo, (beard:1.3),(EasyNegative),badhandv4, lowres,(worst quality:2),(low quality:2),(normal quality:2),lowers,normal quality,facing away,looking away,text,error,extra digit,fewer digits,cropped,jpeg artifacts,signature,watermark,username,blurry,skin spots,acnes,skin blemishes,bad anatomy,fat,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,tilted head.bad anatomy.bad hands,extra fingers,fewer digits.,extra limbs.extra arms,extra legs,malformed limbs.fused fingers,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,extra arms,extra leg,extra foot,missing fingers,",
常用起手式（细节画质）,"best quality,High Quality,realistic,RAW photo,masterpiece,8k,insane details,High detail,hyperdetailed,Lighting,Master Lighting,film grain,","((nsfw)),sketches,tattoo,(beard:1.3),(EasyNegative:1.3),badhandv4,(Teeth:1.3),(worst quality:2),(low quality:2),(normal quality:2),lowers,normal quality,facing away,looking away,text,error,extra digit,fewer digits,cropped,jpeg artifacts,signature,watermark,username,blurry,skin spots,acnes,skin blemishes,bad anatomy,fat,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,tilted head.bad anatomy.bad hands,extra fingers,fewer digits.,extra limbs.extra arms,extra legs,malformed limbs.fused fingers.,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,extra arms,extra leg,extra foot,missing fingers,",
孕妇,"masterpiece,best quality,raw photo,best quality,photorealistic,simple background,ultra high res,(RAW photo),1girl,solo,high detail face,smile,white light,create a polished look,curvy,pregnant","AS-YoungV2-neg,BadDream,badhandv4,BadNegAnatomyV1-neg,EasyNegative,FastNegativeV2,mutated hands and fingers,malformed hands,extra limb",
小马 Pony,"score_9, score_8_up, score_7_up, (SUBJECT), depth of field, highly detailed, high contrast, film grain, Rim Lighting","score_6, score_5, score_4, text, censored, deformed, bad hand,deformed, deformed face, low quality, bad quality, worst quality, (drawn, furry, illustration, cartoon, anime, comic:1.5), 3d, cgi, extra fingers, (source_anime, source_cartoon, source_furry, source_western, source_comic, source_pony), deformed teeth,(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.33),(duplicate:1.33),(morbid:1.21),(mutilated:1.21),(tranny:1.33),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.33),extra limbs,(disfigured:1.33),(missing arms:1.33),(extra legs:1.33),(fused fingers:1.61),(too many fingers:1.61),(unclear eyes:1.33),lowers,bad hands,missing fingers,extra digit,bad hands,missing fingers,(((extra arms and legs))),DeepNegativeV1.x_V175T,EasyNegative,EasyNegativeV2,",
诱惑半身,"Photograph of a young Asian woman with fair skin and straight brown hair,wearing a sheer,brown lace dress with a plunging neckline,revealing ample cleavage. She has a neutral expression,wearing gold earrings. Background shows greenery and a stone balustrade.,full body,","ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
模特,"This is a high-resolution photograph of a young East Asian woman with fair skin,She wears an elegant,off-the-shoulder,brown and silver lace dress with intricate floral embroidery,Her hair is dark brown,styled in a neat,low bun with a few loose strands framing her face,She has a subtle,natural makeup look with a soft pink blush,defined eyebrows,and a muted,natural lip color. Her eyes are accentuated with a light touch of eyeliner and mascara,and she is wearing a small pair of pearl earrings. She is positioned against a plain,light beige background,which helps to focus attention on her. The overall style of the photograph is clean and minimalist,emphasizing the subject's poise and sophistication,The background is a soft,blurred gradient of light gray and white,giving a dreamy,ethereal feel,","ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
F2025,"feifei,busty breasts,This is a high-resolution photograph of a young Asian woman with fair skin and a delicate,elegant appearance. She has a slender build and is wearing a pristine,white,V-neck blouse made of a smooth,silky fabric that drapes softly over her shoulders. The blouse has long sleeves with button cuffs,and she is wearing a black skirt that is partially visible at the bottom of the frame. Her hair is dark brown,styled in a neat,low bun with a few loose strands framing her face. She has a subtle,natural makeup look with a soft pink blush,defined eyebrows,and a muted,natural lip color. Her eyes are accentuated with a light touch of eyeliner and mascara,and she is wearing a small pair of pearl earrings. She is positioned against a plain,light beige background,which helps to focus attention on her. Her right hand is placed gently on her chin,with her fingers lightly touching her lips,while her left arm is bent and rests on her hip. The overall style of the photograph is clean and minimalist,emphasizing the subject's poise and sophistication.,","(worst quality:2),(low quality:2),(normal quality:2),lowres,watermark,ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
白色半透明衬衫,"photo (medium), 1girl, standing, outdoors, sidewalk, trees in the background, daytime, bright, smiling, long straight black hair,up shirt with rolled-up sleeves, black pantyhose, black heels, fair skin, slender physique, bright and vibrant colors, natural lighting,shirt","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry",
晚霞美女,"NSFW,Frontal photography,Look front,evening,dark clouds,the setting sun,On the city rooftop,A 20 year old female,Black top,Black Leggings,black hair,long hair, dark theme, muted tones, pastel colors, high contrast, (natural skin texture, A dim light, high clarity) ((sky background))((Facial highlights)),","easynegative,(worst quality:2),(low quality:2),(normal quality:2),lowres,bad anatomy,bad hands,normal quality,((monochrome)),((grayscale)),((watermark)),",
2.5D人物模板,"(best quality), ((masterpiece)), (highres), (an extremely delicate and beautiful), original, extremely detailed wallpaper,","worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,bad_anatomy,bad_feet,bad_hands,bad_perspective,bad_proportions,error,extra_arms,extra_ears,extra_eyes,extra_mouth,feet_out_of_frame,foot_out_of_frame,greyscale,head_out_of_frame,out-of-frame_censoring,out_of_frame,wrong_feet,",
万能式线稿角色细化,"(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,intricate detail,artbook,","(bad-artist:1.0), (loli:1.2), (worst quality, low quality:1.4), (bad_prompt_version2:0.8), bad-hands-5,lowres, bad anatomy, bad hands, ((text)), (watermark), error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, ((username)), blurry, (extra limbs),",
正向-高质量,"(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),",,
正向-画质改善,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,",,
反向-人物万能,,"multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand,",
反向-单人专用,,"(Multiple people),lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,",
反向-超长超全,,"multiple breasts, (mutated hands and fingers: 1.5), (long body 1.3), (mutation, poorly drawn 1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers,one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated,poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad cameltoe, colorful cameltoe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis,",
反向-通用人物负面词咒语,,"sketches, (worst quality:2), (low quality:2), (normal quality:2), lowers, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head, bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worst quality, low quality, normal quality,jpeg artifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot",


